PUBMILLIS,FECHA
-74.10578,4.69618
-74.101309,4.692229
-74.106027,4.695478
-74.104561,4.698168
-74.098427,4.713788
-74.098827,4.740411
-74.125327,4.710129
-74.096276,4.70822
-74.118022,4.713578
-74.093464,4.739073
-74.087099,4.657377
-74.085391,4.678355
-74.075557,4.669407
-74.081089,4.670549
-74.074953,4.677608
-74.074539,4.678054
-74.086511,4.676486
-74.064906,4.660963
-74.063471,4.663089
-74.061469,4.661213
-74.0624,4.659751
-74.062697,4.668392
-74.059989,4.668108
-74.091552,4.761864
-74.031021,4.769231
-74.031476,4.769564
-74.060081,4.792039
-74.051845,4.666553
-74.052182,4.668276
-74.064556,4.670608
-74.05993,4.678597
-74.053226,4.670369
-74.052271,4.670328
-74.054298,4.672114
-74.047882,4.679422
-74.057955,4.676937
-74.070735,4.689301
-74.0824,4.681193
-74.079887,4.683135
-74.084072,4.689999
-74.074512,4.687396
-74.084832,4.69141
-74.062072,4.688344
-74.059189,4.687521
-74.057624,4.683457
-74.057153,4.684875
-74.057435,4.683491
-74.052895,4.685854
-74.057509,4.686667
-74.056779,4.687709
-74.05693,4.69976
-74.10497,4.675467
-74.114079,4.68337
-74.11971,4.687638
-74.123872,4.701415
-74.12443,4.70091
-74.123504,4.701824
-74.110049,4.688789
-74.111645,4.686927
-74.100111,4.681649
-74.08096,4.627087
-74.079846,4.630053
-74.083411,4.630995
-74.080248,4.626139
-74.062652,4.616537
-74.064831,4.701215
-74.062617,4.697046
-74.069403,4.700347
-74.06849,4.695959
-74.059155,4.701822
-74.038153,4.680076
-74.046659,4.676122
-74.045527,4.678287
-74.044391,4.682983
-74.041298,4.695909
-74.044426,4.696613
-74.080147,4.712231
-74.069967,4.711463
-74.05332,4.70813
-74.049945,4.706931
-74.058961,4.70742
-74.061758,4.708305
-74.053494,4.705283
-74.064017,4.709158
-74.069238,4.716945
-74.060317,4.721184
-74.066478,4.723259
-74.052019,4.715685
-74.054208,4.718982
-74.053189,4.718991
-74.058022,4.719732
-74.049738,4.729576
-74.049514,4.730834
-74.047871,4.737469
-74.061177,4.740447
-74.047361,4.715412
-74.036074,4.704885
-74.031944,4.713317
-74.032349,4.712793
-74.039895,4.728902
-74.044388,4.7343
-74.045674,4.73397
-74.045144,4.733875
-74.030766,4.742587
-74.046668,4.737155
-74.187968,4.616109
-74.145042,4.595382
-74.103601,4.580626
-74.100902,4.580085
-74.102179,4.580946
-74.097401,4.606415
-74.09943,4.609122
-74.098497,4.607297
-74.112999,4.595505
-74.139025,4.621306
-74.137442,4.63513
-74.137998,4.630412
-74.136195,4.650432
-74.140604,4.640464
-74.08571,4.655379
-74.072722,4.651112
-74.085831,4.655542
-74.077167,4.651613
-74.067172,4.64053
-74.066557,4.636374
-74.067365,4.640562
-74.055374,4.645824
-74.065476,4.640257
-74.065497,4.64026
-74.058068,4.648547
-74.054269,4.650938
-74.054981,4.654547
-74.059173,4.653603
-74.060321,4.648216
-74.059143,4.656623
-74.064915,4.647378
-74.117414,4.660082
-74.130203,4.666409
-74.118695,4.668147
-74.119613,4.678265
-74.132417,4.67986
-74.129863,4.677333
-74.123623,4.674453
-74.121062,4.670794
-74.11214,4.66563
-74.11105,4.666853
-74.105057,4.659139
-74.10201,4.662865
-74.107815,4.66116
-74.103812,4.66067
-74.107622,4.671696
-74.112635,4.67897
-74.108114,4.673076
-74.108227,4.669719
-74.098956,4.669578
-74.124607,4.622869
-74.133763,4.630365
-74.123053,4.627599
-74.130946,4.630278
-74.132778,4.630457
-74.12294,4.628129
-74.130378,4.629971
-74.103848,4.625163
-74.09828,4.617082
-74.098605,4.620463
-74.093915,4.63205
-74.106784,4.628129
-74.099106,4.626788
-74.095422,4.626281
-74.113966,4.641415
-74.116615,4.646547
-74.121285,4.646699
-74.122922,4.653771
-74.09501,4.63981
-74.096353,4.636459
-74.096427,4.638502
-74.101584,4.655744
-74.104431,4.655858
-74.103774,4.657928
-74.103162,4.652511
-74.100776,4.648787
-74.071368,4.601743
-74.075904,4.609571
-74.070502,4.603666
-74.075947,4.609745
-74.075224,4.610902
-74.067416,4.602171
-74.088053,4.618124
-74.090514,4.625623
-74.089663,4.625534
-74.08489,4.615231
-74.091214,4.641982
-74.078838,4.641368
-74.078676,4.644417
-74.07233,4.652238
-74.08339,4.653819
-74.122233,4.654385
-74.136551,4.637733
-74.139013,4.620724
-74.097674,4.645007
-74.137647,4.631003
-74.137626,4.631208
-74.089869,4.616324
-74.073206,4.615719
-74.091632,4.614271
-74.07656,4.621025
-74.075697,4.619814
-74.086512,4.633258
-74.079522,4.633173
-74.135832,4.638804
-74.133538,4.630353
-74.101404,4.678685
-74.131081,4.704206
-74.063192,4.668972
-74.056682,4.65828
-74.079954,4.680242
-74.07537,4.686858
-74.085695,4.696289
-74.048585,4.70866
-74.092439,4.574902
-74.068166,4.603312
-74.069681,4.659073
-74.090896,4.742528
-74.093715,4.689031
-74.065953,4.760412
-74.08469,4.745986
-74.034867,4.70404
-74.057696,4.682329
-74.050917,4.723381
-74.07758,4.71358
-74.032669,4.707328
-74.027187,4.762463
-74.030456,4.809313
-74.029895,4.806523
-74.054597,4.696239
-74.061319,4.618449
-74.059518,4.62053
-74.056846,4.624041
-74.07894,4.641227
-74.078652,4.644812
-74.07857,4.645741
-74.078597,4.645427
-74.077942,4.653837
-74.07822,4.650204
-74.07796,4.653498
-74.056251,4.642486
-74.052586,4.644827
-74.055482,4.654529
-74.050776,4.653773
-74.055734,4.654013
-74.048278,4.657571
-74.106477,4.671601
-74.114415,4.663371
-74.114816,4.662675
-74.102686,4.676745
-74.076714,4.662052
-74.047949,4.658357
-74.065168,4.675437
-74.060284,4.67831
-74.059174,4.678953
-74.068601,4.672787
-74.070533,4.671409
-74.072139,4.669548
-74.082725,4.697353
-74.055689,4.695225
-74.085669,4.696368
-74.057783,4.682695
-74.057729,4.684456
-74.085225,4.696484
-74.081504,4.700277
-74.047094,4.662164
-74.040873,4.675289
-74.028743,4.700083
-74.045928,4.686065
-74.032889,4.694243
-74.044737,4.68676
-74.048171,4.740223
-74.047722,4.74287
-74.049021,4.735418
-74.026143,4.72169
-74.032589,4.718784
-74.032549,4.71208
-74.03189,4.737078
-74.026924,4.761849
-74.026927,4.780898
-74.027323,4.771362
-74.026222,4.759337
-74.026432,4.760591
-74.02433,4.753587
-74.030631,4.799335
-74.030968,4.797896
-74.096184,4.699442
-74.112036,4.70954
-74.123776,4.742727
-74.090875,4.669608
-74.055592,4.668438
-74.063795,4.660723
-74.05543,4.668476
-74.060174,4.66777
-74.061821,4.667281
-74.064023,4.669961
-74.059721,4.669408
-74.048702,4.6749
-74.08051,4.685973
-74.077279,4.69938
-74.059989,4.687627
-74.050991,4.714781
-74.084536,4.745014
-74.08317,4.737404
-74.04867,4.737713
-74.066001,4.730827
-74.054489,4.753123
-74.030058,4.761146
-74.127145,4.648929
-74.057803,4.622641
-74.088412,4.633945
-74.04412,4.66925
-74.033114,4.694199
-74.032633,4.69475
-74.032235,4.695392
-74.05379,4.706666
-74.074783,4.729423
-74.034915,4.719905
-74.04301,4.704259
-74.033752,4.741057
-74.027683,4.767874
-74.029883,4.804848
-74.031193,4.795109
-74.051371,4.685873
-74.05684,4.688429
-74.059434,4.687588
-74.047829,4.679524
-74.042007,4.681017
-74.062623,4.708555
-74.074676,4.723027
-74.057881,4.739884
-74.049228,4.736867
-74.064526,4.742212
-74.042321,4.704202
-74.07667,4.758657
-74.027345,4.765091
-74.031343,4.764905
-74.028845,4.769836
-74.052889,4.682407
-74.101454,4.602963
-74.133153,4.643032
-74.134053,4.641982
-74.052969,4.65857
-74.050687,4.661009
-74.053173,4.682246
-74.055693,4.695201
-74.052172,4.682802
-74.043854,4.671387
-74.043559,4.671131
-74.036343,4.691588
-74.034537,4.693998
-74.079472,4.710797
-74.050938,4.723173
-74.04803,4.741039
-74.049045,4.736259
-74.032065,4.738674
-74.026336,4.759893
-74.026835,4.780287
-74.030692,4.815823
-74.03089,4.798189
-74.03093,4.817986
-74.031188,4.819991
-74.030749,4.811225
-74.031314,4.821194
-74.029879,4.804332
-74.187277,4.615609
-74.044445,4.732838
-74.091803,4.761605
-74.092126,4.754517
-74.09616,4.7469
-74.107472,4.746332
-74.057533,4.753701
-74.080091,4.755007
-74.059554,4.755572
-74.037282,4.749376
-74.034316,4.748496
-74.035518,4.748928
-74.041499,4.760336
-74.040437,4.764275
-74.039674,4.764662
-74.034759,4.760274
-74.030592,4.765873
-74.031382,4.763984
-74.031598,4.763907
-74.029818,4.769864
-74.031025,4.769006
-74.042322,4.792186
-74.131468,4.630105
-74.09326,4.625952
-74.135246,4.630445
-74.122831,4.640553
-74.132787,4.6558
-74.128399,4.648072
-74.067696,4.631855
-74.089599,4.625527
-74.142714,4.670512
-74.135585,4.658818
-74.187136,4.614887
-74.13767,4.633575
-74.11468,4.640848
-74.126015,4.64825
-74.0593,4.676557
-74.054838,4.69761
-74.045247,4.7046
-74.034254,4.726396
-74.02969,4.76023
-74.080397,4.628807
-74.056333,4.692843
-74.056168,4.692444
-74.057004,4.687414
-74.0568,4.688666
-74.154534,4.697225
-74.046939,4.794956
-74.03259,4.710284
-74.030663,4.816928
-74.069356,4.650502
-74.107024,4.705935
-74.059402,4.67593
-74.03157,4.748311
-74.031733,4.748336
-74.043684,4.669559
-74.029758,4.792976
-74.12958,4.564367
-74.187001,4.613242
-74.138816,4.622303
-74.099314,4.627104
-74.091247,4.641808
-74.116489,4.710573
-74.054476,4.701225
-74.08191,4.687756
-74.042059,4.682016
-74.052781,4.715364
-74.051017,4.708738
-74.050691,4.738111
-74.093239,4.760138
-74.09222,4.757197
-74.123851,4.643295
-74.124072,4.643653
-74.129166,4.651979
-74.111449,4.653104
-74.074837,4.620087
-74.064828,4.631531
-74.08628,4.616404
-74.081477,4.630647
-74.086576,4.645776
-74.074704,4.641901
-74.103516,4.67574
-74.109525,4.689317
-74.081667,4.683981
-74.078132,4.684634
-74.071343,4.699764
-74.044035,4.762898
-74.031372,4.76422
-74.070754,4.671155
-74.070929,4.670952
-74.053873,4.681846
-74.042512,4.670166
-74.04422,4.667498
-74.040555,4.67584
-74.044591,4.666809
-74.044044,4.669565
-74.031447,4.696984
-74.043,4.687753
-74.047826,4.742249
-74.08156,4.706828
-74.026092,4.775981
-74.029881,4.804544
-74.029906,4.807288
-74.125551,4.572075
-74.128496,4.58736
-74.125244,4.571021
-74.106574,4.579467
-74.122622,4.575195
-74.124462,4.645847
-74.125032,4.647002
-74.067711,4.603605
-74.142714,4.670512
-74.102914,4.676613
-74.103847,4.675173
-74.105682,4.672667
-74.100297,4.670356
-74.092269,4.697251
-74.109567,4.707591
-74.057981,4.687171
-74.047652,4.683201
-74.045419,4.704371
-74.050736,4.752702
-74.039707,4.764664
-74.108228,4.661354
-74.104083,4.674417
-74.105571,4.67269
-74.07622,4.663757
-74.084117,4.696983
-74.086209,4.696401
-74.044584,4.666821
-74.04374,4.669928
-74.046601,4.665683
-74.032473,4.695009
-74.081606,4.705181
-74.047134,4.746472
-74.186724,4.612402
-74.162288,4.596032
-74.097992,4.591578
-74.123978,4.64411
-74.123914,4.642749
-74.125421,4.647555
-74.094417,4.640641
-74.155918,4.688808
-74.119168,4.677578
-74.097588,4.699813
-74.054373,4.669534
-74.088175,4.673842
-74.050779,4.685904
-74.044857,4.67829
-74.04523,4.70111
-74.074564,4.724037
-74.050223,4.706042
-74.049303,4.736334
-74.049077,4.737687
-74.030529,4.702519
-74.042609,4.750513
-74.040506,4.749985
-74.041937,4.760267
-74.130506,4.646389
-74.136495,4.637865
-74.160108,4.687223
-74.064942,4.675572
-74.083036,4.697448
-74.041294,4.688988
-74.077449,4.713789
-74.065165,4.741943
-74.026694,4.761314
-74.026474,4.77368
-74.03127,4.795366
-74.183148,4.606626
-74.180327,4.609583
-74.178604,4.61092
-74.176934,4.612678
-74.175628,4.613837
-74.178029,4.612337
-74.179152,4.610666
-74.134586,4.62988
-74.096091,4.6389
-74.060109,4.602111
-74.091598,4.625644
-74.075994,4.641815
-74.102072,4.677254
-74.104706,4.669077
-74.112602,4.710083
-74.067305,4.675977
-74.066469,4.677331
-74.048735,4.665035
-74.057384,4.683783
-74.061448,4.680776
-74.056158,4.692506
-74.055187,4.698215
-74.045449,4.665734
-74.042615,4.670191
-74.047507,4.660235
-74.046904,4.66367
-74.031094,4.697486
